,Date,Ticker,Close,Dividends,High,Low,Open,Stock Splits,Volume
0,2024-01-08,AMZN,149.10000610351562,0.0,149.39999389648438,146.14999389648438,146.74000549316406,0.0,46757100
1,2024-01-08,GGAL,16.600000381469727,0.0,16.639999389648438,16.100000381469727,16.639999389648438,0.0,469600
2,2024-01-08,META,358.6600036621094,0.0,358.9800109863281,352.04998779296875,354.70001220703125,0.0,13890200
3,2024-01-08,MSFT,374.69000244140625,0.0,375.20001220703125,369.010009765625,369.29998779296875,0.0,23134000
4,2024-01-08,WMT,158.25,0.0,158.2899932861328,156.67999267578125,156.6999969482422,0.0,6893600
5,2024-01-09,AMZN,151.3699951171875,0.0,151.7100067138672,148.2100067138672,148.3300018310547,0.0,43812600
6,2024-01-09,GGAL,15.489999771118164,0.0,16.479999542236328,15.4399995803833,16.25,0.0,938700
7,2024-01-09,META,357.42999267578125,0.0,360.6400146484375,355.3599853515625,356.3999938964844,0.0,13463900
8,2024-01-09,MSFT,375.7900085449219,0.0,375.989990234375,371.19000244140625,372.010009765625,0.0,20830000
9,2024-01-09,WMT,159.30999755859375,0.0,159.33999633789062,157.72999572753906,157.92999267578125,0.0,7774100
10,2024-01-10,AMZN,153.72999572753906,0.0,154.4199981689453,151.8800048828125,152.05999755859375,0.0,44421800
11,2024-01-10,GGAL,16.09000015258789,0.0,16.1299991607666,15.34000015258789,15.4399995803833,0.0,859600
12,2024-01-10,META,370.4700012207031,0.0,372.94000244140625,359.0799865722656,360.1700134277344,0.0,22117200
13,2024-01-10,MSFT,382.7699890136719,0.0,384.1700134277344,376.32000732421875,376.3699951171875,0.0,25514200
14,2024-01-10,WMT,161.2899932861328,0.0,161.5,159.55999755859375,159.55999755859375,0.0,6707300
15,2024-01-11,AMZN,155.17999267578125,0.0,157.1699981689453,153.1199951171875,155.0399932861328,0.0,49072700
16,2024-01-11,GGAL,15.779999732971191,0.0,16.600000381469727,15.720000267028809,16.440000534057617,0.0,640700
17,2024-01-11,META,369.6700134277344,0.0,372.7799987792969,362.92999267578125,372.1300048828125,0.0,17205400
18,2024-01-11,MSFT,384.6300048828125,0.0,390.67999267578125,380.3800048828125,386.0,0.0,27850800
19,2024-01-11,WMT,161.11000061035156,0.0,161.88999938964844,160.1699981689453,161.35000610351562,0.0,4785100
20,2024-01-12,AMZN,154.6199951171875,0.0,156.1999969482422,154.00999450683594,155.38999938964844,0.0,40460300
21,2024-01-12,GGAL,15.979999542236328,0.0,16.280000686645508,15.829999923706055,15.829999923706055,0.0,558500
22,2024-01-12,META,374.489990234375,0.0,377.05999755859375,369.5400085449219,370.1600036621094,0.0,19295700
23,2024-01-12,MSFT,388.4700012207031,0.0,388.67999267578125,384.6499938964844,385.489990234375,0.0,21645700
24,2024-01-12,WMT,161.32000732421875,0.0,161.5399932861328,160.3800048828125,161.3699951171875,0.0,4542600
25,2024-01-16,AMZN,153.16000366210938,0.0,154.99000549316406,152.14999389648438,153.52999877929688,0.0,41384600
26,2024-01-16,GGAL,15.680000305175781,0.0,16.0,15.4399995803833,16.0,0.0,793100
27,2024-01-16,META,367.4599914550781,0.0,375.6099853515625,367.2300109863281,373.6499938964844,0.0,15306900
28,2024-01-16,MSFT,390.2699890136719,0.0,394.0299987792969,387.6199951171875,393.6600036621094,0.0,27202300
29,2024-01-16,WMT,161.8300018310547,0.0,162.39999389648438,161.22999572753906,161.44000244140625,0.0,5677500
30,2024-01-17,AMZN,151.7100067138672,0.0,152.14999389648438,149.91000366210938,151.49000549316406,0.0,34953400
31,2024-01-17,GGAL,16.260000228881836,0.0,16.270000457763672,15.319999694824219,15.399999618530273,0.0,1025400
32,2024-01-17,META,368.3699951171875,0.0,368.5400085449219,358.6099853515625,366.29998779296875,0.0,12724800
33,2024-01-17,MSFT,389.4700012207031,0.0,390.1099853515625,384.80999755859375,387.9800109863281,0.0,22234100
34,2024-01-17,WMT,161.07000732421875,0.0,161.99000549316406,160.6300048828125,161.3800048828125,0.0,4942600
35,2024-01-18,AMZN,153.5,0.0,153.77999877929688,151.82000732421875,152.77000427246094,0.0,37850200
36,2024-01-18,GGAL,16.670000076293945,0.0,16.709999084472656,15.739999771118164,16.329999923706055,0.0,1133600
37,2024-01-18,META,376.1300048828125,0.0,376.8500061035156,370.95001220703125,371.489990234375,0.0,16354300
38,2024-01-18,MSFT,393.8699951171875,0.0,393.989990234375,390.1199951171875,391.7200012207031,0.0,23392100
39,2024-01-18,WMT,163.24000549316406,0.0,163.38999938964844,160.67999267578125,161.16000366210938,0.0,6063500
40,2024-01-19,AMZN,155.33999633789062,0.0,155.75999450683594,152.74000549316406,153.8300018310547,0.0,51033700
41,2024-01-19,GGAL,17.190000534057617,0.0,17.270000457763672,16.649999618530273,16.719999313354492,0.0,1350600
42,2024-01-19,META,383.45001220703125,0.0,384.3599853515625,377.9700012207031,379.0,0.0,21470100
43,2024-01-19,MSFT,398.6700134277344,0.0,398.6700134277344,393.5,395.760009765625,0.0,29272000
44,2024-01-19,WMT,162.3800048828125,0.0,163.57000732421875,161.44000244140625,163.42999267578125,0.0,6389800
45,2024-01-22,AMZN,154.77999877929688,0.0,157.0500030517578,153.89999389648438,156.88999938964844,0.0,43687500
46,2024-01-22,GGAL,18.18000030517578,0.0,18.5,17.270000457763672,17.270000457763672,0.0,2340700
47,2024-01-22,META,381.7799987792969,0.0,390.3500061035156,381.1600036621094,387.95001220703125,0.0,17680500
